tourney_id,tourney_name,match_id,winner_name,loser_name
1879-540,Wimbledon,18,We Martin,Lyttleton Stewart Forbes Winslow
1879-540,Wimbledon,19,S Pilkington,Edmond Bennet Brackenbury
1879-540,Wimbledon,20,Edgar Lubbock,Herbert Fortescue Lawford
1879-540,Wimbledon,21,Alfred John Mulholland,Arthur Sydney Tabor
1879-540,Wimbledon,22,Vere Thomas Saint Leger Goold,F Durant
1879-540,Wimbledon,23,Charles Gilbert Heathcote,Cl Stephen
1879-540,Wimbledon,24,Victor Alexander Brooke,Bt Cotton
1879-540,Wimbledon,25,John Thorneycroft Hartley,Lestocq Robert Erskine
1879-540,Wimbledon,26,William Cecil Marshall,Gh Cartland
1879-540,Wimbledon,27,Cecil Francis Parr,Hubert James Medlycott
1879-540,Wimbledon,28,T Hoare,Edward North Buxton
1879-540,Wimbledon,29,Arthur Thomas Myers,Arthur Basil Brooke
1879-540,Wimbledon,30,Charles David Barry,Gg Arbuthnot
1879-540,Wimbledon,31,George Ernest Tabor,We Martin
1879-540,Wimbledon,32,Edgar Lubbock,S Pilkington
1879-540,Wimbledon,33,Vere Thomas Saint Leger Goold,James David Vans Agnew
1879-540,Wimbledon,34,Charles Gilbert Heathcote,Victor Alexander Brooke
1879-540,Wimbledon,35,John Thorneycroft Hartley,William Cecil Marshall
1879-540,Wimbledon,36,Cecil Francis Parr,T Hoare
1879-540,Wimbledon,37,Charles David Barry,Arthur Thomas Myers
1879-540,Wimbledon,38,George Ernest Tabor,Edgar Lubbock
1879-540,Wimbledon,39,Vere Thomas Saint Leger Goold,Alfred John Mulholland
1879-540,Wimbledon,40,John Thorneycroft Hartley,Charles Gilbert Heathcote
1879-540,Wimbledon,41,Cecil Francis Parr,Charles David Barry
1879-540,Wimbledon,42,Vere Thomas Saint Leger Goold,George Ernest Tabor
1879-540,Wimbledon,43,John Thorneycroft Hartley,Cecil Francis Parr
1879-540,Wimbledon,44,John Thorneycroft Hartley,Vere Thomas Saint Leger Goold
1879-540,Wimbledon,45,John Thorneycroft Hartley,Frank Hadow
1880-540,Wimbledon,1,William Charles Renshaw,Frederick Brunning Maddison
1880-540,Wimbledon,2,Otway Edward Woodhouse,Jh Brand
1880-540,Wimbledon,3,Charles Henry Evill,Wm Bird
1880-540,Wimbledon,4,Hubert James Medlycott,Edward North Buxton
1880-540,Wimbledon,5,Ernest Renshaw,Frederick Gordon Templer
1880-540,Wimbledon,6,Charles David Heatley,Rc Christian
1880-540,Wimbledon,7,Henry Lyle Mulholland,George Ernest Tabor
1880-540,Wimbledon,8,Dale Womersley,Victor Alexander Brooke
1880-540,Wimbledon,9,Francis William Monement,B Follett
1880-540,Wimbledon,10,Charles John Cole,Seton Montolieu Montgomerie
1880-540,Wimbledon,11,George Arnulph Montgomerie,William Francis Wells Cole
1880-540,Wimbledon,12,Cl Stephen,T Taylor
1880-540,Wimbledon,13,Gs Murray Hill,He Solly
1880-540,Wimbledon,14,Rh Beresford,William S Trollope
1880-540,Wimbledon,15,Hc Jenkins,Herbert Romaine Hallward
1880-540,Wimbledon,16,Arthur Sydney Tabor,Francis Benson
1880-540,Wimbledon,17,Herbert Fortescue Lawford,Je Eddis
1880-540,Wimbledon,18,William Bolding Monement,F Harold
1880-540,Wimbledon,19,Kenneth Macalpine,Norman Leslie Hallward
1880-540,Wimbledon,20,F Durant,Henry James Daly
1880-540,Wimbledon,21,Frederick Crowder,Wl Hacon
1880-540,Wimbledon,22,Michael Gallwey Mcnamara,Jc Maxwell Scott
1880-540,Wimbledon,23,William Henry Darby Desterre,Barclay Fowell Buxton
1880-540,Wimbledon,24,Richard Ridley Farrer,Montague Hankey
1880-540,Wimbledon,25,We Hansell,William Cecil Marshall
1880-540,Wimbledon,26,C Wallis,Bt Cotton
1880-540,Wimbledon,27,Charles Gilbert Heathcote,Wf Clerke
1880-540,Wimbledon,28,J Devans,William C Taylor
1880-540,Wimbledon,29,George Montague Butterworth,Nalton Womersley
1880-540,Wimbledon,30,Richard Taswell Richardson,Alexander Kaye Butterworth
1880-540,Wimbledon,31,William Charles Renshaw,Dale Womersley
1880-540,Wimbledon,32,Otway Edward Woodhouse,Francis William Monement
1880-540,Wimbledon,33,Hubert James Medlycott,Charles Henry Evill
1880-540,Wimbledon,34,Ernest Renshaw,Charles David Heatley
1880-540,Wimbledon,35,Charles John Cole,Henry Lyle Mulholland
1880-540,Wimbledon,36,George Arnulph Montgomerie,Cl Stephen
1880-540,Wimbledon,37,Gs Murray Hill,Rh Beresford
1880-540,Wimbledon,38,Hc Jenkins,Arthur Sydney Tabor
1880-540,Wimbledon,39,Herbert Fortescue Lawford,William Bolding Monement
1880-540,Wimbledon,40,F Durant,Frederick Crowder
1880-540,Wimbledon,41,William Henry Darby Desterre,Michael Gallwey Mcnamara
1880-540,Wimbledon,42,Richard Ridley Farrer,We Hansell
1880-540,Wimbledon,43,Charles Gilbert Heathcote,C Wallis
1880-540,Wimbledon,44,George Montague Butterworth,J Devans
1880-540,Wimbledon,45,Richard Taswell Richardson,Kenneth Macalpine
1880-540,Wimbledon,46,Otway Edward Woodhouse,William Charles Renshaw
1880-540,Wimbledon,47,Ernest Renshaw,Hubert James Medlycott
1880-540,Wimbledon,48,George Arnulph Montgomerie,Charles John Cole
1880-540,Wimbledon,49,Hc Jenkins,Gs Murray Hill
1880-540,Wimbledon,50,William Henry Darby Desterre,F Durant
1880-540,Wimbledon,51,Richard Ridley Farrer,Charles Gilbert Heathcote
1880-540,Wimbledon,52,Herbert Fortescue Lawford,Richard Taswell Richardson
1880-540,Wimbledon,53,Otway Edward Woodhouse,Ernest Renshaw
1880-540,Wimbledon,54,George Arnulph Montgomerie,Hc Jenkins
1880-540,Wimbledon,55,George Montague Butterworth,Richard Ridley Farrer
1880-540,Wimbledon,56,Herbert Fortescue Lawford,William Henry Darby Desterre
1880-540,Wimbledon,57,Otway Edward Woodhouse,George Arnulph Montgomerie
1880-540,Wimbledon,58,Herbert Fortescue Lawford,George Montague Butterworth
1880-540,Wimbledon,59,Herbert Fortescue Lawford,Otway Edward Woodhouse
1880-540,Wimbledon,60,John Thorneycroft Hartley,Herbert Fortescue Lawford
1881-540,Wimbledon,1,Md Buckingham,Harry Grove
1881-540,Wimbledon,2,Otway Edward Woodhouse,Hubert Hope Wilkes
1881-540,Wimbledon,3,Wilfred Milne,Wm Bird
1881-540,Wimbledon,4,X Castor,Robert Wallace Glen Lee Braddell
1881-540,Wimbledon,5,William Charles Renshaw,William John Down
1881-540,Wimbledon,6,Thomas W Gallwey,Arthur John Stanley
1881-540,Wimbledon,7,C Cheales,Bt Cotton
1881-540,Wimbledon,8,Edgar Lubbock,James Rankine
1881-540,Wimbledon,9,Champion Branfill Russell,F Pollock
1881-540,Wimbledon,10,Hc Jenkins,R Pollock
1881-540,Wimbledon,11,Wh Edwards,Jm Thornycroft
1881-540,Wimbledon,12,Herbert Fortescue Lawford,Charles John Cole
1881-540,Wimbledon,13,Gs Murray Hill,Es Saxton
1881-540,Wimbledon,14,A Keyser,C Wallis
1881-540,Wimbledon,15,Minden Fenwick,Herbert Romaine Hallward
1881-540,Wimbledon,16,Arthur John Chitty,Norman Leslie Hallward
1881-540,Wimbledon,17,Henry Lyle Mulholland,B Follett
1881-540,Wimbledon,18,William Henry Darby,Fh Stokes
1881-540,Wimbledon,19,Frederick Lawrence Rawson,George Arnulph Montgomerie
1881-540,Wimbledon,20,X Pollux,John Wilkes
1881-540,Wimbledon,21,Ernest Renshaw,John Galbraith Horn
1881-540,Wimbledon,22,Jc Maxwell Scott,Hb Porter
1881-540,Wimbledon,23,Richard Taswell Richardson,Ah Cochran
1881-540,Wimbledon,24,Michael Gallwey Mcnamara,William C Taylor
1881-540,Wimbledon,25,Otway Edward Woodhouse,Md Buckingham
1881-540,Wimbledon,26,Wilfred Milne,X Castor
1881-540,Wimbledon,27,William Charles Renshaw,Thomas W Gallwey
1881-540,Wimbledon,28,Edgar Lubbock,C Cheales
1881-540,Wimbledon,29,Hc Jenkins,Champion Branfill Russell
1881-540,Wimbledon,30,Herbert Fortescue Lawford,Wh Edwards
1881-540,Wimbledon,31,Gs Murray Hill,A Keyser
1881-540,Wimbledon,32,Minden Fenwick,Arthur John Chitty
1881-540,Wimbledon,33,William Henry Darby,Henry Lyle Mulholland
1881-540,Wimbledon,34,X Pollux,Frederick Lawrence Rawson
1881-540,Wimbledon,35,Ernest Renshaw,Jc Maxwell Scott
1881-540,Wimbledon,36,Richard Taswell Richardson,Michael Gallwey Mcnamara
1881-540,Wimbledon,37,Otway Edward Woodhouse,Wilfred Milne
1881-540,Wimbledon,38,William Charles Renshaw,Edgar Lubbock
1881-540,Wimbledon,39,Herbert Fortescue Lawford,Hc Jenkins
1881-540,Wimbledon,40,Gs Murray Hill,Minden Fenwick
1881-540,Wimbledon,41,William Henry Darby,X Pollux
1881-540,Wimbledon,42,Richard Taswell Richardson,Ernest Renshaw
1881-540,Wimbledon,43,William Charles Renshaw,Otway Edward Woodhouse
1881-540,Wimbledon,44,Herbert Fortescue Lawford,Gs Murray Hill
1881-540,Wimbledon,45,Richard Taswell Richardson,William Henry Darby
1881-540,Wimbledon,46,William Charles Renshaw,Herbert Fortescue Lawford
1881-540,Wimbledon,47,William Charles Renshaw,Richard Taswell Richardson
1881-540,Wimbledon,48,William Charles Renshaw,John Thorneycroft Hartley
1881-560,US Open,1,Richard Dudley Sears,Hwh Powell
1881-560,US Open,2,X Anderson,X Randolph
1881-560,US Open,3,Crawford Nightingale,X Caldwell
1881-560,US Open,4,Wh Barnes,X Miller
1881-560,US Open,5,Edward H Gray,X Hines
1881-560,US Open,6,X Coggswell,X Congdon
1881-560,US Open,7,William E Glyn,Arthur L Rives
1881-560,US Open,8,Richard Field Conover,El Morse
1881-560,US Open,9,William Gammell Jr,Arthur Emden Newbold
1881-560,US Open,10,X Rathbone,Fn Saunders
1881-560,US Open,11,X Kessler,X Pruyn
1881-560,US Open,12,W Smith 2,F Eldridge
1881-560,US Open,13,Richard Dudley Sears,X Anderson
1881-560,US Open,14,Crawford Nightingale,Wh Barnes
1881-560,US Open,15,Edward H Gray,X Coggswell
1881-560,US Open,16,William E Glyn,Richard Field Conover
1881-560,US Open,17,Samuel Shaw,X Rathbone
1881-560,US Open,18,X Kessler,W Smith 2
1881-560,US Open,19,Richard Dudley Sears,Crawford Nightingale
1881-560,US Open,20,William E Glyn,William Gammell Jr
1881-560,US Open,21,Samuel Shaw,X Kessler
1881-560,US Open,22,Richard Dudley Sears,Edward H Gray
1881-560,US Open,23,William E Glyn,Samuel Shaw
1881-560,US Open,24,Richard Dudley Sears,William E Glyn
1882-540,Wimbledon,1,Ernest De Sylly Hamilton Browne,Claude Erskine Farrer
1882-540,Wimbledon,2,Ernest Renshaw,William Meaburn Tatham
1882-540,Wimbledon,3,Pelham George Von Donop,George Arnulph Montgomerie
1882-540,Wimbledon,4,Humphrey H Berkeley,Gg Arbuthnot
1882-540,Wimbledon,5,Arthur John Stanley,Herbert Chipp
1882-540,Wimbledon,6,Herbert Fortescue Lawford,B Follett
1882-540,Wimbledon,7,Herbert William Wrangham Wilberforce,Hubert Hope Wilkes
1882-540,Wimbledon,8,R Hyde Clark,Jc Maxwell Scott
1882-540,Wimbledon,9,Francis Archibald Fairlie,Wilfred Milne
1882-540,Wimbledon,10,Otway Edward Woodhouse,Fj Ridgway
1882-540,Wimbledon,11,George Montague Butterworth,Harry Grove
1882-540,Wimbledon,12,Richard Taswell Richardson,Donald Charles Stewart
1882-540,Wimbledon,13,John Galbraith Horn,Cj Michod
1882-540,Wimbledon,14,Frank Benson,Fa Govett
1882-540,Wimbledon,15,Ernest Renshaw,Ernest De Sylly Hamilton Browne
1882-540,Wimbledon,16,Humphrey H Berkeley,Pelham George Von Donop
1882-540,Wimbledon,17,Herbert Fortescue Lawford,Arthur John Stanley
1882-540,Wimbledon,18,Herbert William Wrangham Wilberforce,R Hyde Clark
1882-540,Wimbledon,19,Otway Edward Woodhouse,Francis Archibald Fairlie
1882-540,Wimbledon,20,Richard Taswell Richardson,George Montague Butterworth
1882-540,Wimbledon,21,Frank Benson,John Galbraith Horn
1882-540,Wimbledon,22,Ernest Renshaw,Humphrey H Berkeley
1882-540,Wimbledon,23,Herbert Fortescue Lawford,Herbert William Wrangham Wilberforce
1882-540,Wimbledon,24,Richard Taswell Richardson,Otway Edward Woodhouse
1882-540,Wimbledon,25,Ernest Renshaw,Herbert Fortescue Lawford
1882-540,Wimbledon,26,Richard Taswell Richardson,Frank Benson
1882-540,Wimbledon,27,Ernest Renshaw,Richard Taswell Richardson
1882-540,Wimbledon,28,William Charles Renshaw,Ernest Renshaw
1882-560,US Open,1,Richard Dudley Sears,Xx Johnson
1882-560,US Open,2,William E Glyn,Fitzjames Hynes
1882-560,US Open,3,Richard Field Conover,Ek Butler
1882-560,US Open,4,William Vs Thorne,Arthur Emden Newbold
1882-560,US Open,5,Gc Allen,Fm Carryll
1882-560,US Open,6,Clarence Monroe Clark,X Boit
1882-560,US Open,7,Arthur L Rives,Thomas Longwood
1882-560,US Open,8,Crawford Nightingale,Ts Draper
1882-560,US Open,9,F Eldridge,X Roby
1882-560,US Open,10,W Smith 2,X Leroy
1882-560,US Open,11,Hwh Powell,X Woodman
1882-560,US Open,12,Ab Malcolmson,Cw Brooks
1882-560,US Open,13,James Rankine,X Miller
1882-560,US Open,14,X Rathbone,X Patton
1882-560,US Open,15,Rs Codman,Frank S Benson
1882-560,US Open,16,James Dwight,Wh Boardman
1882-560,US Open,17,X Kneeland,X Leroy 2
1882-560,US Open,18,?? Baillie,Wp Metcalfe
1882-560,US Open,19,Joseph Sill Clark,X Brown
1882-560,US Open,20,Edward H Gray,Rl Agassiz
1882-560,US Open,21,Richard Field Conover,William Vs Thorne
1882-560,US Open,22,Hwh Powell,X Rathbone
1882-560,US Open,23,Richard Dudley Sears,William E Glyn
1882-560,US Open,24,Clarence Monroe Clark,Rs Codman
1882-560,US Open,25,Crawford Nightingale,F Eldridge
1882-560,US Open,26,Edward H Gray,W Smith 2
1882-560,US Open,27,James Rankine,Ab Malcolmson
1882-560,US Open,28,Arthur L Rives,X Kneeland
1882-560,US Open,29,James Dwight,Gc Allen
1882-560,US Open,30,Joseph Sill Clark,?? Baillie
1882-560,US Open,31,Edward H Gray,Crawford Nightingale
1882-560,US Open,32,James Rankine,Hwh Powell
1882-560,US Open,33,James Dwight,Joseph Sill Clark
1882-560,US Open,34,Richard Dudley Sears,Richard Field Conover
1882-560,US Open,35,Clarence Monroe Clark,Arthur L Rives
1882-560,US Open,36,Richard Dudley Sears,James Rankine
1882-560,US Open,37,Clarence Monroe Clark,James Dwight
1882-560,US Open,38,Clarence Monroe Clark,Edward H Gray
1882-560,US Open,39,Richard Dudley Sears,Clarence Monroe Clark
1883-540,Wimbledon,1,Herbert William Wrangham Wilberforce,Fa Govett
1883-540,Wimbledon,2,John Thorneycroft Hartley,Harry Sibthorpe Barlow
1883-540,Wimbledon,3,Donald Charles Stewart,Harry Grove
1883-540,Wimbledon,4,Claude Erskine Farrer,B Follett
1883-540,Wimbledon,5,Fj Ridgway,Fiske Warren
1883-540,Wimbledon,6,William C Taylor,Wilfred Milne
1883-540,Wimbledon,7,Lg Campbell,Otway Edward Woodhouse
1883-540,Wimbledon,8,Marmaduke S Constable,Leo Maxse
1883-540,Wimbledon,9,Ernest Renshaw,Herbert Fortescue Lawford
1883-540,Wimbledon,10,George Arnulph Montgomerie,Herbert Henley Playford
1883-540,Wimbledon,11,Charles Walder Grinstead,Teddy Williams
1883-540,Wimbledon,12,Herbert William Wrangham Wilberforce,John Thorneycroft Hartley
1883-540,Wimbledon,13,Donald Charles Stewart,Claude Erskine Farrer
1883-540,Wimbledon,14,William C Taylor,Fj Ridgway
1883-540,Wimbledon,15,Marmaduke S Constable,Lg Campbell
1883-540,Wimbledon,16,Ernest Renshaw,George Arnulph Montgomerie
1883-540,Wimbledon,17,Charles Walder Grinstead,Richard Taswell Richardson
1883-540,Wimbledon,18,Donald Charles Stewart,Herbert William Wrangham Wilberforce
1883-540,Wimbledon,19,William C Taylor,Marmaduke S Constable
1883-540,Wimbledon,20,Ernest Renshaw,Charles Walder Grinstead
1883-540,Wimbledon,21,Donald Charles Stewart,William C Taylor
1883-540,Wimbledon,22,Ernest Renshaw,Donald Charles Stewart
1883-540,Wimbledon,23,William Charles Renshaw,Ernest Renshaw
1883-560,US Open,1,Hwh Powell,X Wharton
1883-560,US Open,2,Wh Bucknall,William Gammell Jr
1883-560,US Open,3,Foxhall Parker Keane,X Johnson
1883-560,US Open,4,Morgan G Post,Jh Powell
1883-560,US Open,5,Gm Smith,X Williams
1883-560,US Open,6,F Eldridge,Fitzjames Hynes
1883-560,US Open,7,Morton S Paton,Wp Metcalfe
1883-560,US Open,8,James Dwight,M Thomas
1883-560,US Open,9,Godfrey Malbone Brinley,S H Hooper
1883-560,US Open,10,Arthur Emden Newbold,Gw Beals
1883-560,US Open,11,Richard Field Conover,John S Tooker
1883-560,US Open,12,Wb Dixon,Leigh Bosnal
1883-560,US Open,13,Ch Farnam Jr,Howard Augustus Taylor
1883-560,US Open,14,Hwh Powell,Wh Bucknall
1883-560,US Open,15,Foxhall Parker Keane,Morgan G Post
1883-560,US Open,16,Gm Smith,F Eldridge
1883-560,US Open,17,James Dwight,Morton S Paton
1883-560,US Open,18,Godfrey Malbone Brinley,Arthur Emden Newbold
1883-560,US Open,19,Richard Field Conover,Wb Dixon
1883-560,US Open,20,Richard Dudley Sears,Ch Farnam Jr
1883-560,US Open,21,Richard Dudley Sears,Hwh Powell
1883-560,US Open,22,Foxhall Parker Keane,Gm Smith
1883-560,US Open,23,James Dwight,Godfrey Malbone Brinley
1883-560,US Open,24,Richard Dudley Sears,Foxhall Parker Keane
1883-560,US Open,25,James Dwight,Richard Field Conover
1883-560,US Open,26,Richard Dudley Sears,James Dwight
1884-540,Wimbledon,1,Wilfred Milne,Jc Maxwell Scott
1884-540,Wimbledon,2,Oswald Milne,Wt Ryves
1884-540,Wimbledon,3,Ernest Renshaw,Teddy Williams
1884-540,Wimbledon,4,B Cokayne,George Arnulph Montgomerie
1884-540,Wimbledon,5,Arthur John Stanley,B Follett
1884-540,Wimbledon,6,Charles Walder Grinstead,Richard Dudley Sears
1884-540,Wimbledon,7,Awm White,Ci Cramer Roberts
1884-540,Wimbledon,8,Ernest De Sylly Hamilton Browne,Donald Charles Stewart
1884-540,Wimbledon,9,Patrick Bowes  Lyon,Frederick Lawrence Rawson
1884-540,Wimbledon,10,William C Taylor,Ernest Wigram
1884-540,Wimbledon,11,Herbert Chipp,Arthur L Rives
1884-540,Wimbledon,12,James Dwight,Fj Ridgway
1884-540,Wimbledon,13,Herbert Fortescue Lawford,Herbert William Wrangham Wilberforce
1884-540,Wimbledon,14,Rc Thompson,John Redfern Deykin
1884-540,Wimbledon,15,Wilfred Milne,Oswald Milne
1884-540,Wimbledon,16,Ernest Renshaw,B Cokayne
1884-540,Wimbledon,17,Charles Walder Grinstead,Arthur John Stanley
1884-540,Wimbledon,18,Ernest De Sylly Hamilton Browne,Awm White
1884-540,Wimbledon,19,William C Taylor,Patrick Bowes  Lyon
1884-540,Wimbledon,20,Herbert Chipp,James Dwight
1884-540,Wimbledon,21,Herbert Fortescue Lawford,Rc Thompson
1884-540,Wimbledon,22,Ernest Renshaw,Wilfred Milne
1884-540,Wimbledon,23,Charles Walder Grinstead,Ernest De Sylly Hamilton Browne
1884-540,Wimbledon,24,Herbert Chipp,William C Taylor
1884-540,Wimbledon,25,Charles Walder Grinstead,Ernest Renshaw
1884-540,Wimbledon,26,Herbert Fortescue Lawford,Herbert Chipp
1884-540,Wimbledon,27,Herbert Fortescue Lawford,Charles Walder Grinstead
1884-540,Wimbledon,28,William Charles Renshaw,Herbert Fortescue Lawford
1884-560,US Open,1,Robert Livingston Beeckman,Morgan G Post
1884-560,US Open,2,Godfrey Malbone Brinley,Wb Merriman
1884-560,US Open,3,William Vs Thorne,Fiske Warren
1884-560,US Open,4,Robert Livingston Beeckman,S H Hooper
1884-560,US Open,5,P Willis,Arthur L Rives
1884-560,US Open,6,Wallace Percy Knapp,Fh Gillette
1884-560,US Open,7,Wb Eaton,James Dwight
1884-560,US Open,8,Howard Augustus Taylor,Godfrey Malbone Brinley
1884-560,US Open,9,Joseph Sill Clark,Wp Metcalfe
1884-560,US Open,10,Alexander Van Rensselaer,Cw Barnes
1884-560,US Open,11,William Vs Thorne,Morton S Paton
1884-560,US Open,12,Henry Warner Slocum Jr,Fitzjames Hynes
1884-560,US Open,13,Richard Field Conover,Foxhall Parker Keane
1884-560,US Open,14,George E Richards,Am Wood
1884-560,US Open,15,Ek Butler,Walter Van Renssalaer Berry
1884-560,US Open,16,Clarence Monroe Clark,Allan Curtis
1884-560,US Open,17,Peter Lyman,Np Hallowell
1884-560,US Open,18,Ac Salt,Ee Denniston
1884-560,US Open,19,Mantell Fielding,William Gammell Jr
1884-560,US Open,20,Robert Livingston Beeckman,P Willis
1884-560,US Open,21,Wallace Percy Knapp,Wb Eaton
1884-560,US Open,22,Howard Augustus Taylor,Joseph Sill Clark
1884-560,US Open,23,Alexander Van Rensselaer,Richard Field Conover
1884-560,US Open,24,William Vs Thorne,Henry Warner Slocum Jr
1884-560,US Open,25,George E Richards,Ek Butler
1884-560,US Open,26,Clarence Monroe Clark,Peter Lyman
1884-560,US Open,27,Ac Salt,Mantell Fielding
1884-560,US Open,28,Wallace Percy Knapp,Robert Livingston Beeckman
1884-560,US Open,29,Howard Augustus Taylor,Alexander Van Rensselaer
1884-560,US Open,30,William Vs Thorne,George E Richards
1884-560,US Open,31,Clarence Monroe Clark,Ac Salt
1884-560,US Open,32,Howard Augustus Taylor,Wallace Percy Knapp
1884-560,US Open,33,William Vs Thorne,Clarence Monroe Clark
1884-560,US Open,34,Howard Augustus Taylor,William Vs Thorne
1884-560,US Open,35,Richard Dudley Sears,Howard Augustus Taylor
1885-540,Wimbledon,1,Wilfred Milne,Oswald Milne
1885-540,Wimbledon,2,Ernest Renshaw,Donald Charles Stewart
1885-540,Wimbledon,3,Michael Gallwey Mcnamara,Jc Rogers
1885-540,Wimbledon,4,Ernest De Sylly Hamilton Browne,George Kerr
1885-540,Wimbledon,5,James Dwight,E Cotton
1885-540,Wimbledon,6,George Arnulph Montgomerie,William C Taylor
1885-540,Wimbledon,7,Harry Grove,George Nelson Stenhouse
1885-540,Wimbledon,8,Herbert Chipp,Wilfred Milne
1885-540,Wimbledon,9,Ernest Renshaw,Charles Prideaux Triscott
1885-540,Wimbledon,10,Michael Gallwey Mcnamara,Ernest George Meers
1885-540,Wimbledon,11,Ernest De Sylly Hamilton Browne,Ernest Wool Lewis
1885-540,Wimbledon,12,James Dwight,Archibald Thomson
